Item,Quantity,Name,Material
1,1,bottom_mgn12_short_duct,PETG
2,21,"M3  Hex nut ",Hardened Alloy Steel
3,4,DIN 912 M3 35 mm,Hardened Alloy Steel
4,1,Duct v2.1 Straight,PETG
5,1,back_corexy,PETG
6,2,tension_slider_9mm_belt_M5,PETG
7,1,DIN 912 M3 25 mm,Hardened Alloy Steel
8,2,DIN 912 M5 45 mm,Hardened Alloy Steel
9,2,M5  Hex nut Nyloc,Hardened Alloy Steel
10,1,5015 fan,- None -
11,1,top_orbiter_mgn12,PETG
12,8,DIN 912 M3 10 mm,Hardened Alloy Steel
13,1,Housing 1.5,- None -
14,1,cable_holder,PETG
15,1,unversal_cable_mount,PETG
16,1,PTFE 65mm,- None -
17,1,universal_face,PETG
18,2,face_belt_grabber,PETG
19,4,DIN 912 M3 8 mm,Hardened Alloy Steel
